Name,Brand,Price,Model,Rating,Number of Ratings,Stock,Specifications,Image
Watches for Men Quartz Chronograph 10ATM Waterproof Brown Leather Men's Minimalist Slim Fashion Watch Gifts for Men,Sapphero,3853,2104-3,4.3,427,In stock,"{'item_weight': '130 g', 'case_material': 'Stainless Steel', 'crystal_material': 'Glass', 'band_material': 'Leather', 'water_resistant_depth': '100 Meters'}",https://m.media-amazon.com/images/I/51dLYEE8VZL._SX679_.jpg
,,11212,,5,1,,"{'item_weight': '85 g', 'case_material': None, 'crystal_material': None, 'band_material': None, 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/71Jzaj-bzOL._SX679_.jpg
"Michael Kors Stainless Steel Analog Black Dial Men's Watch-Mk8703, Band Color:Black",Michael Kors,13196,,4.6,733,In stock,"{'item_weight': '61 g', 'case_material': None, 'crystal_material': None, 'band_material': None, 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/41S5FxIuW0L._SX300_SY300_QL70_FMwebp_.jpg
Men's Watch New Wheels Rolling Creative Fashion Che Youhui League Fans Butterfly Double Snap Gift Wristwatch - 1787,SKMEI,1399,1787,4.2,837,In stock,"{'item_weight': None, 'case_material': 'Stainless Steel', 'crystal_material': 'Glass', 'band_material': 'Stainless Steel', 'water_resistant_depth': '50 Meters'}",https://m.media-amazon.com/images/I/61wb1KTyNgL._SX679_.jpg
"Analog-Digital Sports Watch: Chronograph, Dual Time, Alarm, Stopwatch, Water-Resistant, Shock-Resistant, Back Light Display- The Perfect Watches for Men - CT9105",Carlington,1139,CT 9105 Green,4.2,631,In stock,"{'item_weight': '80 g', 'case_material': 'Alloy Steel', 'crystal_material': 'Mineral', 'band_material': 'Resin', 'water_resistant_depth': '10 Meters'}",https://m.media-amazon.com/images/I/910E84YrzdL._SX679_.jpg
Automatic Watch for Men Self Winding Mechanical Luxury Business Stainless Steel Multi Calendar Waterproof Luminous Wrist Watches,OLEVS,10800,MJ-IND-G6607-BH,4.1,168,,"{'item_weight': '250 g', 'case_material': 'Stainless Steel', 'crystal_material': 'Mineral', 'band_material': 'Stainless Steel', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/61ydqK8M6PL._SX679_.jpg
,,3853,2104-2,4.3,427,In stock,"{'item_weight': '240 g', 'case_material': 'Stainless Steel', 'crystal_material': 'Glass', 'band_material': 'Stainless Steel', 'water_resistant_depth': '100 Meters'}",https://m.media-amazon.com/images/I/514TFDaLlzL._SX679_.jpg
"Silicone Digital Watch Shockproof Multi-Functional Automatic Black Color Strap Waterproof Digital Sports Watch For Mens Kids Watch For Boys, Men Pack Of 1, Water Resistance",SELLORIA,164,116161601,3.8,1084,In stock,"{'item_weight': None, 'case_material': 'Plastic', 'crystal_material': None, 'band_material': 'Silicone', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/61YTgYOiedL._SY879_.jpg
"Fire-Boltt Ninja Call Pro Max 51.05mm (2.01 inch) Display Smart Watch, Bluetooth Calling, 120+ Sports Modes, Health Suite, Voice Assistance (Black)",Fire-Boltt,1099,,4.1,80264,In stock,"{'item_weight': '37 g', 'case_material': None, 'crystal_material': None, 'band_material': None, 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/41MNpp00hmL._SX300_SY300_QL70_FMwebp_.jpg
"Noise Twist Round dial Smart Watch with Bluetooth Calling, 1.38"" TFT Display, up-to 7 Days Battery, 100+ Watch Faces, IP68, Heart Rate Monitor, Sleep Tracking (Jet Black)",Noise,1299,,4.1,26668,In stock,"{'item_weight': '45 g', 'case_material': None, 'crystal_material': None, 'band_material': None, 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/61TapeOXotL._SX679_.jpg
Silicone Strap Analog Wrist Watch for Men (Black/Blue/Red) | LD-BK054,LOUIS DEVIN,348,LD-BK054-BLACK,3.9,3638,In stock,"{'item_weight': '150 g', 'case_material': 'Brass', 'crystal_material': 'Glass', 'band_material': 'Silicone', 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/61LO6l4zB4L._SX679_.jpg
Analog Day Date Functioning Stainless Steel Chain Watch for Men,TIMEWEAR,289,231BDTG,3.8,13398,In stock,"{'item_weight': None, 'case_material': 'Alloy Steel', 'crystal_material': 'Glass', 'band_material': 'Stainless Steel', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/81FUOCgGF0L._SY879_.jpg
"Noise Twist Go Bluetooth Calling Smart Watch for Women with Sleek Metal Dial, Glossy Finish, 1.39"" Display, 100+ Watch Faces, IP68, Sleep Tracking, Voice Assistance, Upto 7 Days Battery (Gold Link)",Noise,1498,,4.1,26668,In stock,"{'item_weight': '0.05 g', 'case_material': None, 'crystal_material': None, 'band_material': None, 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/51pipGoHHFL._SX300_SY300_QL70_FMwebp_.jpg
Watches for Men Chronograph Business Wrist Watches Analog Quartz Moon Phase Stainless Steel Waterproof Luminous Dress Watches,OLEVS,2960,OLS-IND-G2859GJ-JL,3.6,1284,In stock,"{'item_weight': '150 g', 'case_material': 'Stainless Steel', 'crystal_material': 'Mineral', 'band_material': 'Stainless Steel', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/61RJ2VavZPL._SX679_.jpg
Analog New Track Number Dial Day Date Functioning Leather Strap Watch for Men,TIMEWEAR,289,305WDTG,3.7,1461,In stock,"{'item_weight': None, 'case_material': 'Alloy Steel', 'crystal_material': 'Glass', 'band_material': 'Leather', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/71CVv+-eVWL._SY879_.jpg
"Fire-Boltt Ninja Call Pro Max 51.05mm (2.01 inch) Display Smart Watch, Bluetooth Calling, 120+ Sports Modes, Health Suite, Voice Assistance (Grey)",Fire-Boltt,1099,,4.1,80264,In stock,"{'item_weight': '37 g', 'case_material': None, 'crystal_material': None, 'band_material': None, 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/61nqDRdzBRL._SX679_.jpg
WT030 Leather Strap Analog Wrist Watch for Men,LOUIS DEVIN,284,LD-WT030-SLV-BRW,3.7,3079,In stock,"{'item_weight': '180 g', 'case_material': 'Silver', 'crystal_material': 'Metal', 'band_material': 'Leather', 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/81kLhCWFSjL._SX679_.jpg
Analog Unisex-Adult Watch,Fastrack,805,NR38024PP25,4.1,13099,In stock,"{'item_weight': '150 g', 'case_material': 'Plastic', 'crystal_material': 'Acrylic', 'band_material': 'Silicone', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/61FFBTzKiUL._SX679_.jpg
Karishma Analog Black Dial Men's Watch NM1639SM02/NN1639SM02,Titan,1596,NN1639SM02,4.3,2022,In stock,"{'item_weight': '45 g', 'case_material': 'Brass', 'crystal_material': 'Mineral', 'band_material': 'Stainless Steel', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/51ykbSj-eoL._SX679_.jpg
"Noise Twist Go Round dial Smartwatch with BT Calling, 1.39"" Display, Metal Build, 100+ Watch Faces, IP68, Sleep Tracking, 100+ Sports Modes, 24/7 Heart Rate Monitoring (Elite Black)",Noise,1599,,4.1,26668,In stock,"{'item_weight': '45 g', 'case_material': None, 'crystal_material': None, 'band_material': None, 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/61q0ZgCYoJL._SX679_.jpg
Antique 2.0 Day & Date Softest Silicone Strap Analog Watch for Men & Boys,Matrix,289,DD-117,4.1,1656,In stock,"{'item_weight': '120 g', 'case_material': 'Stainless Steel', 'crystal_material': 'Glass', 'band_material': 'Silicone', 'water_resistant_depth': '1.00 Feet'}",https://m.media-amazon.com/images/I/71v6m3wsYRL._SX679_.jpg
Men Watch Dual-Display Electronic Watch with Luminous 50m Waterproof Watch Fashion Multifunctional Sports Watch for Men- 1816,SKMEI,1749,1816,3.9,634,In stock,"{'item_weight': '30 g', 'case_material': 'Stainless Steel', 'crystal_material': 'Glass', 'band_material': 'Stainless Steel', 'water_resistant_depth': '50 Meters'}",https://m.media-amazon.com/images/I/71P8RPG2r5L._SX679_.jpg
Watches for Men Analog Quartz Chronograph Watch Moon Phase Waterproof Black Silicone Diamond Dress Luminous Easy Reader Wrist Watches,OLEVS,3040,MJ-IND-G2875-BHUI,4.1,191,In stock,"{'item_weight': '50 g', 'case_material': 'Stainless Steel', 'crystal_material': 'Glass', 'band_material': 'Silicone', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/71LeG3eS-tL._SX679_.jpg
Chronograph Unisex Watch (Dial Colored Strap),SKMEI,559,1412,3.6,71,In stock,"{'item_weight': '300 g', 'case_material': 'ABS + PU', 'crystal_material': 'Glass', 'band_material': 'Acrylonitrile Butadiene Styrene', 'water_resistant_depth': '50 Meters'}",https://m.media-amazon.com/images/I/61-+d1m+ivL._SX679_.jpg
Watches for Men Diamond Date Day Calendar Black Wrist Watches Quartz Analog Business Stainless Steel Two Tone Waterproof Luminous Men Watch,OLEVS,3040,OLS-IND-G5609GJ-QJ,2.8,4,In stock,"{'item_weight': '85 g', 'case_material': 'Stainless Steel', 'crystal_material': 'Mineral', 'band_material': 'Stainless Steel', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/61unCYJck8L._SX679_.jpg
G-Shock GWG-2000-1A1DR Gray IP Black Analog-Digital Dial Black Resin Strap Men's Watch Mud Resistant Barometer Altimeter G1175,Casio,65995,GWG-2000-1A1DR,4.3,27,In stock,"{'item_weight': '106 g', 'case_material': None, 'crystal_material': None, 'band_material': 'Plastic', 'water_resistant_depth': '200 Meters'}",https://m.media-amazon.com/images/I/81BRqCN1ZPL._SY879_.jpg
Vintage A158WA-1DF Black Digital Dial Silver Stainless Steel Band D011,Casio,1525,A158W-1,4.4,44266,In stock,"{'item_weight': '48 g', 'case_material': 'Stainless Steel', 'crystal_material': 'Mineral', 'band_material': 'Stainless Steel', 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/61ybeKQto8L._SY879_.jpg
"Noise Pulse Go Buzz Smart Watch with Advanced Bluetooth Calling, 1.69"" TFT Display, SpO2, 100 Sports Mode with Auto Detection, Upto 7 Days Battery (2 Days with Heavy Calling) - Rose Pink",Noise,1099,,4.1,41161,In stock,"{'item_weight': '45 g', 'case_material': None, 'crystal_material': None, 'band_material': None, 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/418tFshxkJL._SX300_SY300_QL70_FMwebp_.jpg
"Noise Twist Go Smart Watch 1.39"" Display, TruSyncᵀᴹ BT Calling, Glossy Metal Finish, 150+ Watch Faces, IP68, Sleep Tracking, 100+ Sports Modes, Smart Watch for Men and Women (Jet Black)",Noise,1298,,4.1,26668,In stock,"{'item_weight': '0.05 g', 'case_material': None, 'crystal_material': None, 'band_material': None, 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/41g7CijFWDL._SX300_SY300_QL70_FMwebp_.jpg
Chronograph Analogue and Digital Sports Watch for Men | Watch for Men | Wrist Watch for Men | Mens Watch | Watch,V2A,638,1706-P,3.8,4020,In stock,"{'item_weight': '90 g', 'case_material': 'Plastic', 'crystal_material': 'Mineral Glass', 'band_material': 'Resin', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/71hGwEE5f3L._SX679_.jpg
Apple Watch Ultra 2 GPS + Cellular 49mm Black Titanium Case with Black Titanium Milanese Loop - Medium,Apple,104900,,3.4,7,In stock,"{'item_weight': '61.8 g', 'case_material': None, 'crystal_material': None, 'band_material': None, 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/51ExyEWSUrL._SX300_SY300_QL70_FMwebp_.jpg
Two Tone Chrono Look Analog Stainless Steel Watch-SS-GR6612 For Men,SWISSTYLE,349,SS-GR6620-BLU-CH,3.4,4739,In stock,"{'item_weight': None, 'case_material': 'Silver', 'crystal_material': None, 'band_material': 'Stainless Steel', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/71gWkXN5RAL._SX679_.jpg
Men's Watch New Wheels Rolling Creative Fashion Che Youhui League Fans Butterfly Double Snap Gift Wristwatch - 1990,SKMEI,1399,1990,4.1,1254,In stock,"{'item_weight': '200 g', 'case_material': 'ZINC ALLOY', 'crystal_material': 'Glass', 'band_material': 'Stainless Steel', 'water_resistant_depth': '50 Meters'}",https://m.media-amazon.com/images/I/71BOkdt+2ML._SX679_.jpg
"Black, Blue, White Dial, Day & Date Functioning, Stainless Steel Strap Analog Watch for Men & Women",Matrix,289,DD-114,3.6,600,In stock,"{'item_weight': None, 'case_material': 'Stainless Steel', 'crystal_material': 'Glass', 'band_material': 'Stainless Steel', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/816eXKgDfIL._SY879_.jpg
"Samsung Galaxy Watch 7 (40mm, Cream, BT+LTE) with 3nm Processor | Dual GPS | Sapphire Glass & Armour Aluminum | 5ATM & IP68 | HR, SpO2, BP & ECG Monitor",Samsung,30990,,3.7,42,In stock,"{'item_weight': '29 g', 'case_material': None, 'crystal_material': None, 'band_material': None, 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/414q5evDcxL._SX300_SY300_QL70_FMwebp_.jpg
"boAt Storm Call 3 w/Turn-by-Turn Navigation, 1.83"" (4.6 cm) HD Display, Bluetooth Calling, Crest+ OS, QR Tray, Watch Face Studio, Coins, Emergency SOS Smart Watch for Men & Women(Active Black)",boAt,1049,,4.2,31656,In stock,"{'item_weight': '55 g', 'case_material': None, 'crystal_material': None, 'band_material': None, 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/41ynE3lJrJL._SX300_SY300_QL70_FMwebp_.jpg
Premium Brand Digital 4 Colours Square Dial Unisex Wrist Watch for Men Women Pack of 1 (WR),Acnos,266,WR-SILVER,3.8,715,In stock,"{'item_weight': '30 g', 'case_material': 'Metal', 'crystal_material': 'Glass', 'band_material': 'Stainless Steel', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/61M32OHXQ1L._SX679_.jpg
"Fire-Boltt Ninja Call Pro Plus 46.48mm (1.83 inch) Smart Watch with Bluetooth Calling, AI Voice Assistance, 100 Sports Modes IP67 Rating, 240 * 280 Pixel High Resolution",Fire-Boltt,999,,4.1,80264,In stock,"{'item_weight': '50 g', 'case_material': None, 'crystal_material': None, 'band_material': None, 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/61PVOwvLthL._SX679_.jpg
"Noise Pulse 2 Max 1.85"" Display, Bluetooth Calling Smart Watch, 10 Days Battery, 550 NITS Brightness, Smart DND, 100 Sports Modes, Smartwatch for Men and Women (Jet Black)",Noise,1099,,4.1,41161,In stock,"{'item_weight': '0.05 g', 'case_material': None, 'crystal_material': None, 'band_material': None, 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/41yw3l-Qa6L._SX300_SY300_QL70_FMwebp_.jpg
"Fire-Boltt Phoenix Smart Watch with Bluetooth Calling 1.3,120+ Sports Modes, 240 * 240 PX High Res with SpO2, Heart Rate Monitoring & IP67 Rating (Black)",Fire-Boltt,1199,,4.1,79597,In stock,"{'item_weight': '37 g', 'case_material': None, 'crystal_material': None, 'band_material': None, 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/41sHRWXCfvL._SX300_SY300_QL70_FMwebp_.jpg
Neo Splash Quartz Multifunction Black Dial Stainless Steel Strap Watch for Men-NS1805QM04,Titan,5076,NR1805QM04,4.1,125,In stock,"{'item_weight': '150 g', 'case_material': None, 'crystal_material': 'Glass', 'band_material': 'Stainless Steel', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/51DahKM0JFL._SX679_.jpg
"NoiseFit Halo 1.43"" AMOLED Display, Bluetooth Calling Round Dial Smart Watch, Premium Metallic Build, Always on Display, Smart Gesture Control, 100 Sports Modes (Vintage Brown)",Noise,2499,,4.2,14754,In stock,"{'item_weight': '0.05 g', 'case_material': None, 'crystal_material': None, 'band_material': None, 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/418VOtv59lL._SX300_SY300_QL70_FMwebp_.jpg
Analog Men's Watch (Dial Colored Strap),TIMEX,957,TW00ZR262E,4.1,21791,In stock,"{'item_weight': '300 g', 'case_material': 'Brass', 'crystal_material': 'Mineral', 'band_material': 'Leather', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/71Kx6rgmlRS._SX679_.jpg
"Polyurethane Premium Brand Arrow Blk Arrow Boys Men Black Dial Wrist Watch For Boys Analog Watch For Men Pack Of 1, Black Band",Acnos,266,BLACK-DEZON,4,163,In stock,"{'item_weight': '30 g', 'case_material': 'PU', 'crystal_material': 'PU', 'band_material': 'Polyurethane', 'water_resistant_depth': '30 Millimeters'}",https://m.media-amazon.com/images/I/41SrxS4-vrL.jpg
Edifice EFV-C100D-1AVDF Black Analog-Digital Dial Silver Stainless Steel Band Men's Watch World Time 100M Water Resistant EX438,Casio,8816,EFV-C100D-1AVDF,4.1,507,In stock,"{'item_weight': '161 g', 'case_material': 'Stainless Steel', 'crystal_material': 'Mineral', 'band_material': 'Stainless Steel', 'water_resistant_depth': '100 Meters'}",https://m.media-amazon.com/images/I/61PUXzdCdUL._SX679_.jpg
"Fire-Boltt Phoenix Pro 35.3mm (1.39 inch) Bluetooth Calling Smart Watch, AI Voice Assistant, Metal Body with 120+ Sports Modes, SpO2, Heart Rate Monitoring (Black)",Fire-Boltt,1199,,4.1,79598,In stock,"{'item_weight': '50 g', 'case_material': None, 'crystal_material': None, 'band_material': None, 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/41m-lBJQ2hL._SX300_SY300_QL70_FMwebp_.jpg
Digital Sports Multi Functional Black Dial Watch for Mens Boys -315RED,Shocknshop,249,W315RED,3.9,8958,In stock,"{'item_weight': '100 g', 'case_material': 'PU', 'crystal_material': 'Mineral', 'band_material': 'Rubber', 'water_resistant_depth': '50 Meters'}",https://m.media-amazon.com/images/I/61fyBGuO18L._SX679_.jpg
"Amazfit GTR 4 New Smart Watch with 1.45” AMOLED Display, Bluetooth Calls, Zepp Aura, Heart Rate, Sleep, Stress, SpO2 Monitoring, Sports Watch with 150+ Sports Modes, GPS, Music Control, Alexa Built-in(Galaxy Black)",Amazfit,15499,,3.9,7,In stock,"{'item_weight': '57 g', 'case_material': None, 'crystal_material': None, 'band_material': None, 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/41JDw3m8FuL._SX300_SY300_QL70_FMwebp_.jpg
"Fire-Boltt Phoenix Pro 35.3mm (1.39 inch) Bluetooth Calling Smart Watch, AI Voice Assistant, Metal Body with 120+ Sports Modes, SpO2, Heart Rate Monitoring (Silver Grey)",Fire-Boltt,1199,,4.1,79597,In stock,"{'item_weight': '50 g', 'case_material': None, 'crystal_material': None, 'band_material': None, 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/41n7XAvtKhL._SX300_SY300_QL70_FMwebp_.jpg
WT005 Stainless Steel Chain Analog Wrist Watch for Men,LOUIS DEVIN,341,LD-WT005-BLK-CH,3.7,1603,In stock,"{'item_weight': '180 g', 'case_material': 'Stainless Steel', 'crystal_material': 'Stainless Steel', 'band_material': 'Stainless Steel', 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/81u5T0xRdML._SX679_.jpg
G-Shock GA-140GB-1A1DR Black & Gold Analog-Digital Dial Black Resin Strap Men's Watch Shock and 200M Water Resistant G1021,Casio,6996,GA-140GB-1A1DR,4.3,192,In stock,"{'item_weight': '72 g', 'case_material': 'Resin', 'crystal_material': 'Mineral', 'band_material': 'Resin', 'water_resistant_depth': '200 Meters'}",https://m.media-amazon.com/images/I/71mVQp3R08L._SX679_.jpg
Analog Slim Two Hands Leather Strap Watches for Men,TIMEWEAR,289,192WDTG,3.7,14620,In stock,"{'item_weight': None, 'case_material': 'Alloy Steel', 'crystal_material': 'Glass', 'band_material': 'Leather', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/81CwsCvUWqL._SY879_.jpg
Mesh Steel Chain Analog Wrist Watch for Men (LD-G042),LOUIS DEVIN,312,LD-G042-BLK-CH,3.9,1836,In stock,"{'item_weight': '170 g', 'case_material': 'Brass', 'crystal_material': None, 'band_material': 'Stainless Steel', 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/81K562wi+bL._SX679_.jpg
Youth Series Digital Black Dial Unisex Watch - F-91W-1Q(D002),Casio,985,F-91W-1DG (D002),4.5,10053,,"{'item_weight': '140 g', 'case_material': 'Resin', 'crystal_material': 'Glass', 'band_material': 'Resin', 'water_resistant_depth': '10 Meters'}",https://m.media-amazon.com/images/I/51oNy5CTCOL._SX679_.jpg
"Noise Twist Go Round dial Smartwatch with BT Calling, 1.39"" Display, Metal Build, 100+ Watch Faces, IP68, Sleep Tracking, 100+ Sports Modes, 24/7 Heart Rate Monitoring (Rose Pink)",Noise,1299,,4.1,26668,In stock,"{'item_weight': '0.05 g', 'case_material': None, 'crystal_material': None, 'band_material': None, 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/61Y6E3Y9heL._SX679_.jpg
Automatic Mechanical Skeleton Leather Strap Men's Watch,BENYAR,3090,Ben-5121-Black-Black,4.1,882,In stock,"{'item_weight': None, 'case_material': 'Stainless Steel', 'crystal_material': 'Hardlex', 'band_material': 'Leather', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/814hrCDIz4L._SX679_.jpg
"OnePlus Watch 2 with Wear OS4,Snapdragon W5 Chipset,Upto 100 hrs Battery Life,1.43 AMOLED Display,Stainless Steel & Sapphire Crystal Build,Dual Frequency GPS,IP68 & Bluetooth Calling (Black Steel)",OnePlus,19999,,4.5,89,In stock,"{'item_weight': '80 g', 'case_material': None, 'crystal_material': None, 'band_material': None, 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/41+6LluMZjL._SY300_SX300_.jpg
Men's Watches Analog Minimalist Black Dial Watches for Men Business Chronograph Casual Watches with Stainless Steel Strap Date,NIBOSI,2406,NI2588,3.9,748,In stock,"{'item_weight': '210 g', 'case_material': 'Stainless Steel', 'crystal_material': 'Glass', 'band_material': 'Stainless Steel', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/617y7A9X+sL._SX679_.jpg
Watch for Men Skeleton Analog Quartz Chronograph Diamond Watches Stainless Steel Moon Phase Calendar Waterproof Wrist Watch,OLEVS,2850,MJ-IND-G9931-QJ,4,4568,In stock,"{'item_weight': '50 g', 'case_material': 'Stainless Steel', 'crystal_material': 'Glass', 'band_material': 'Stainless Steel', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/71FyCinue7L._SX679_.jpg
Watches Men Sport Quartz Watches Waterproof Chronograph Wrist Watch Gift Three-Eye 6-Pin Solid Leather Belt Watch | Gift for Men for Birthday and Rakhi,NIBOSI,1490,NB-2309,3.9,1725,In stock,"{'item_weight': '125 g', 'case_material': 'Stainless Steel', 'crystal_material': 'Mineral Glass', 'band_material': 'Leather', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/516QZXGuq+L.jpg
"Men's Square Watch, LED Backlight Large Screen Multi-Time Zone Men's Watch, Waterproof Analog Men's Digital Sports Watch-1391",SKMEI,1279,1391,3.9,86,In stock,"{'item_weight': None, 'case_material': 'ZINC ALLOY', 'crystal_material': None, 'band_material': 'Leather', 'water_resistant_depth': None}",https://m.media-amazon.com/images/I/61sRzUQJgZL._SX679_.jpg
Luxury Business Casual Party-Wear Silicone Chronograph Date Display Watch for Men,BENYAR,2090,Ben-5140-Blue-Gold,4.1,1079,In stock,"{'item_weight': None, 'case_material': 'Stainless Steel', 'crystal_material': 'Hardlex', 'band_material': 'Silicone', 'water_resistant_depth': '30 Meters'}",https://m.media-amazon.com/images/I/712vlxsG3AL._SY879_.jpg
